Data;Consumo
2007-06-01 00:00:00;29542.48468
2007-05-01 00:00:00;29881.48794
2007-04-01 00:00:00;31350.05961
2007-03-01 00:00:00;32676.08856
2007-02-01 00:00:00;30970.75052
2007-01-01 00:00:00;29960.04144
2006-12-01 00:00:00;29725.43665
2006-11-01 00:00:00;29796.29875
2006-10-01 00:00:00;29255.40005
2006-09-01 00:00:00;29081.09865
2006-08-01 00:00:00;29679.78816
2006-07-01 00:00:00;28707.09936
2006-06-01 00:00:00;28456.18194
2006-05-01 00:00:00;28369.73352
2006-04-01 00:00:00;28994.79536
2006-03-01 00:00:00;30646.27965
2006-02-01 00:00:00;30149.90832
2006-01-01 00:00:00;29410.09741
2005-12-01 00:00:00;28163.79838
2005-11-01 00:00:00;28312.46226
2005-10-01 00:00:00;28991.801
2005-09-01 00:00:00;28242.86741
2005-08-01 00:00:00;28499.19849
2005-07-01 00:00:00;27217.23512
2005-06-01 00:00:00;27921.0999
2005-05-01 00:00:00;27852.86725
2005-04-01 00:00:00;29611.05501
2005-03-01 00:00:00;29329.88921
2005-02-01 00:00:00;28324.55217
2005-01-01 00:00:00;27829.38265
2004-12-01 00:00:00;27695.44343
2004-11-01 00:00:00;28156.10778
2004-10-01 00:00:00;27771.49565
2004-09-01 00:00:00;28426.38831
2004-08-01 00:00:00;27178.62867
2004-07-01 00:00:00;26657.82241
2004-06-01 00:00:00;26579.44845
2004-05-01 00:00:00;26606.29613
2004-04-01 00:00:00;27323.33718
2004-03-01 00:00:00;27520.84331
2004-02-01 00:00:00;26801.95109
2004-01-01 00:00:00;26275.93168
2003-12-01 00:00:00;26662.93698
2003-11-01 00:00:00;26804.53481
2003-10-01 00:00:00;26829.76116
2003-09-01 00:00:00;26242.62583
2003-08-01 00:00:00;25465.2136
2003-07-01 00:00:00;25308.79012
2003-06-01 00:00:00;25326.08679
2003-05-01 00:00:00;25354.74973
2003-04-01 00:00:00;26235.7461
2003-03-01 00:00:00;26389.86065
2003-02-01 00:00:00;27507.62499
2003-01-01 00:00:00;25693.74368
2002-12-01 00:00:00;25636.16089
2002-11-01 00:00:00;26383.8966
2002-10-01 00:00:00;27126.00813
2002-09-01 00:00:00;24970.46792
2002-08-01 00:00:00;25149.89241
2002-07-01 00:00:00;24237.84665
2002-06-01 00:00:00;24626.89849
2002-05-01 00:00:00;24774.47124
2002-04-01 00:00:00;25772.85
2002-03-01 00:00:00;25133.20122
2002-02-01 00:00:00;23452.7022
2002-01-01 00:00:00;22719.87902
2001-12-01 00:00:00;21349.00794
2001-11-01 00:00:00;21504.02511
2001-10-01 00:00:00;20952.31773
2001-09-01 00:00:00;20646.84029
2001-08-01 00:00:00;20395.28526
2001-07-01 00:00:00;19852.4282
2001-06-01 00:00:00;20512.82374
2001-05-01 00:00:00;25055.13888
2001-04-01 00:00:00;27213.965
2001-03-01 00:00:00;27824.663
2001-02-01 00:00:00;27539.32787
2001-01-01 00:00:00;26625.97616
2000-12-01 00:00:00;26041.52919
2000-11-01 00:00:00;26253.36292
2000-10-01 00:00:00;27077.48408
2000-09-01 00:00:00;26045.44757
2000-08-01 00:00:00;26006.38831
2000-07-01 00:00:00;25299.99731
2000-06-01 00:00:00;24734.85181
2000-05-01 00:00:00;25457.51613
2000-04-01 00:00:00;25352.02611
